2023-11-30 09:52:49 status unpacked gcc-12-base:loong64 12.2.0-14+loong64.1
2023-11-30 09:52:49 install gpgv:loong64 <none> 2.2.40-1.1+loong64
2023-11-30 09:52:49 status half-installed gpgv:loong64 2.2.40-1.1+loong64
2023-11-30 09:52:49 status unpacked gpgv:loong64 2.2.40-1.1+loong64
2023-11-30 09:52:50 install libblkid1:loong64 <none> 2.38.1-5+loong64
2023-11-30 09:52:50 status half-installed libblkid1:loong64 2.38.1-5+loong64
2023-11-30 09:52:50 status unpacked libblkid1:loong64 2.38.1-5+loong64
2023-11-30 09:52:50 install libc-bin:loong64 <none> 2.37-9+loong64
2023-11-30 09:52:50 status half-installed libc-bin:loong64 2.37-9+loong64
2023-11-30 09:52:50 status unpacked libc-bin:loong64 2.37-9+loong64
2023-11-30 09:52:51 upgrade libc6:loong64 2.37-9+loong64 2.37-9+loong64
2023-11-30 09:52:51 status half-configured libc6:loong64 2.37-9+loong64
2023-11-30 09:52:51 status unpacked libc6:loong64 2.37-9+loong64
2023-11-30 09:52:51 status half-installed libc6:loong64 2.37-9+loong64
2023-11-30 09:52:54 status unpacked libc6:loong64 2.37-9+loong64
2023-11-30 09:52:54 install libmount1:loong64 <none> 2.38.1-5+loong64
2023-11-30 09:52:54 status half-installed libmount1:loong64 2.38.1-5+loong64
2023-11-30 09:52:54 status unpacked libmount1:loong64 2.38.1-5+loong64
2023-11-30 09:52:55 install libsmartcols1:loong64 <none> 2.38.1-5+loong64
2023-11-30 09:52:55 status half-installed libsmartcols1:loong64 2.38.1-5+loong64
2023-11-30 09:52:55 status unpacked libsmartcols1:loong64 2.38.1-5+loong64
2023-11-30 09:52:55 install libuuid1:loong64 <none> 2.38.1-5+loong64
2023-11-30 09:52:55 status half-installed libuuid1:loong64 2.38.1-5+loong64
2023-11-30 09:52:55 status unpacked libuuid1:loong64 2.38.1-5+loong64
2023-11-30 09:52:55 install mount:loong64 <none> 2.38.1-5+loong64
2023-11-30 09:52:55 status half-installed mount:loong64 2.38.1-5+loong64
2023-11-30 09:52:56 status unpacked mount:loong64 2.38.1-5+loong64
2023-11-30 09:52:56 install sed:loong64 <none> 4.9-1+loong64
